Paises,DE,PHE,PHR,PET,PEM
AL,0,0,0,0,0
AT,1,1,1,1,0
BA,1,0,0,1,0
BE,1,0,0,1,0
BG,1,0,0,1,1
CH,1,1,1,1,0
CY,1,0,0,1,0
CZ,1,0,0,1,0
DE,1,1,1,1,0
DK,1,0,0,1,1
EE,1,0,0,1,1
EL,1,0,0,1,0
ES,1,1,1,1,0
FI,1,0,1,1,1
FR,1,1,1,1,1
HR,1,0,0,1,1
HU,1,0,0,1,0
IE,1,0,0,1,0
IS,0,0,0,1,0
IT,1,1,1,1,1
LI,0,0,0,0,0
LT,1,0,0,1,0
LU,1,0,0,1,0
LV,1,0,0,1,0
ME,1,0,0,1,0
MK,1,0,0,1,0
MT,0,0,0,0,0
NL,1,0,0,1,1
NO,1,1,1,1,1
PL,1,0,0,1,0
PT,1,1,1,1,0
RO,1,1,1,1,0
RS,1,0,0,1,0
SE,1,1,0,1,1
SI,1,0,0,1,0
SK,1,1,1,1,0
TR,0,0,0,0,0
UK,1,0,0,0,1
