Date,AT,CH,DE,ES,FI,FR,IT,NO,PT,RO,SE,SK
1979-12-31,17819405.39963844,5308660.944610038,146080844.4979521,53226290.14741958,11176083.548386369,60412896.563516736,27580092.5198611,71430925.3769063,3428102.772593967,17018514.00073913,31834713.82259485,19213490.18285484
1980-12-31,34023122.94697574,10418514.305050792,166856398.94708112,67999376.60875534,16818821.10057948,104981546.94039617,47844087.83666271,137862673.99791548,7134977.062302599,27741365.40847055,63313304.93244225,24298118.999425016
1981-12-31,34017749.798602134,10647705.219455296,162600024.03540972,63505980.96786307,19920355.632033817,104351302.2262901,45180284.713654235,148303861.48354772,7062916.277499012,28966345.449693125,69622102.62874761,25793734.58507781
1982-12-31,31337966.817062996,11414533.69742518,145980625.80578682,65976020.09611497,19342550.19094509,98853735.83435573,44765879.114494674,136280655.89148584,9661878.349645378,25469203.58917,64361969.203220315,21653527.15292016
1983-12-31,30670004.908674177,10241241.273709362,171399233.1214101,60806759.81623602,19081030.675471988,102015465.28246073,42908797.097012326,148758610.5502345,8983282.413331669,25959342.27712132,66142855.9935898,25322246.79806201
1984-12-31,30920858.97380432,11105417.199506916,154038397.81505373,77282049.15000294,18341081.386030477,100511225.48755981,46798429.650326565,144282317.92901036,11960809.73884132,26734036.592206247,65910454.53251465,24378681.938289527
1985-12-31,33262446.19522387,10583969.617191076,155635284.15922752,68026196.89083722,18079170.163939916,91373524.03949723,43292490.91797792,140852493.83968294,11480101.65607889,26666565.537835862,68767552.4339533,22796545.49376659
1986-12-31,30241331.08683391,10323723.07238978,163842189.7133951,66139270.75699932,18617026.224809334,96169155.56609312,45650692.15976701,142832765.6564001,10574847.78808921,24339412.071429037,65971796.63766871,21749479.423622027
1987-12-31,34161078.17035237,9367541.3638042,146841763.1455233,69569071.18922168,19236167.050707515,97464664.8092368,42489322.667484224,147265948.64104217,10794007.000513671,25027562.736958336,69516825.82973409,24158174.6644245
1988-12-31,32377750.19766772,10435494.563619435,171554048.38048908,72120562.44330826,18536282.600852463,102170952.61536448,42795488.86942113,143898388.17638928,11767661.564062657,27482161.209658787,67635008.123271,23425225.259679522
1989-12-31,33368082.291900665,10481007.144519161,146424614.5052223,65516936.03765252,19262225.860493373,78443601.58803707,40714269.24388505,146474779.18182102,8059787.293529706,25743377.742129102,63666153.83761315,22083940.401516587
1990-12-31,30514591.390601214,10713163.392046692,167481654.2749577,64172120.43948576,18497808.401651803,86144429.8793384,42507035.12766775,148442739.0108186,10651387.494814666,23280143.997081667,66045572.082046434,22369347.294668842
1991-12-31,32075632.21012464,11075228.311687646,146210348.9093142,65778228.453566685,18463464.660986546,86160160.27004872,44061857.79178729,139694216.09605584,8769000.071520051,26386800.069407485,65555522.91100371,22609134.95356744
1992-12-31,31969087.2649402,10781767.755908282,162429556.38347653,62268767.48980693,19909570.372475635,91038066.93178993,44436646.92734341,147299458.56410486,6794691.306478926,25361007.083498724,65604990.670867026,24400604.468036044
1993-12-31,32516650.851946842,9700986.96399593,161246434.10066086,62008925.22705944,18135664.30576028,93184127.9176225,45050290.96914717,143942147.2653789,10179432.107809603,25650069.988070954,68202768.40096621,23210883.739344
1994-12-31,30399934.855903935,10467691.811071996,169090002.03660935,61676383.09999019,17478045.585404932,102528836.23400992,42959333.78231806,134308608.25681183,9179471.543557018,24566737.79630433,64496698.96039777,23461112.892227188
1995-12-31,34632943.1053281,10194308.173841096,163504011.85550082,61146759.01110723,18408335.493633665,95986048.94158575,41733072.53343906,148774407.66686282,6795280.567954669,26690731.23635938,66035584.91358454,24420151.44372931
1996-12-31,34478269.512645386,9995482.615543136,136578877.55076063,78126325.32084167,17618217.163975865,92316782.79792318,47159921.65380037,131192235.88785775,12153484.538538128,25970643.49295498,59749055.0939791,23375719.02774983
1997-12-31,33810973.15181314,10538592.902686039,147850887.55825493,70693557.48878239,17811046.206333358,88734075.79147051,44112536.73043868,146670870.68300462,11795154.986508593,28033847.48337643,65398248.390548,24181665.16556497
1998-12-31,35388598.8403285,10554887.179013083,173220086.794489,67379397.66821672,19561616.630256224,97088623.83299252,44831242.30767675,140746910.223872,10301436.012198677,28545458.022279743,71598549.40180539,25915747.25726663
1999-12-31,35237292.21978084,10289094.18450961,161639826.10345832,65134099.728143826,17369619.50384588,103078718.47299123,44565232.77371297,138255108.79299393,8210851.6496788515,26937598.4724906,65612792.07200499,24541538.893466778
2000-12-31,33380212.22265179,10736061.379150232,161277141.0161725,66860829.9729394,19483436.976396404,102366348.5853166,46424541.55381644,148352789.6917115,10407468.67796207,25154807.9907408,70703577.84435621,24092031.7552933
2001-12-31,32369123.15782145,10224443.511842461,152839208.52466667,73106200.04455946,18102055.723340627,104402838.75188118,46395110.430688106,137823997.9761223,11983147.530412994,27044265.317661934,68256458.5288609,25793598.75877448
2002-12-31,34600725.21960702,10187315.54691067,157262794.10334155,67377671.65459643,16262024.711256254,96090483.15800126,49674740.141813025,141472146.7341911,8863877.77178927,26317521.339779887,64779289.82690781,24498365.541011296
2003-12-31,29661493.066361185,10595430.823211286,137038282.1321108,75669694.38051687,17227474.93538538,85771840.26026808,45767669.40707585,133692243.77386214,13005784.279456811,23690292.527650546,58511354.049503595,22531453.782900926
2004-12-31,34112620.23968492,11358819.173302209,154796135.64211223,67116395.04718171,18559904.285709105,90380959.09160002,47191687.02340678,139359937.9966448,8655949.750458611,26653488.50752998,66125748.032231,24193249.87109994
2005-12-31,33721528.002336204,11121932.931610756,145666723.84809753,56917170.319437645,18765805.784089167,80076777.90012938,44487427.50754256,147370334.17862612,7253283.529494974,28579159.420396265,65593239.25180991,23004948.279724233
