Date,AT,CH,DE,ES,FI,FR,IT,NO,PT,RO,SE,SK
1979-12-31,2797948.7396384394,26739.524610037577,138546024.2679521,40750715.04741958,5251547.448386369,34913397.66351673,8886610.929861097,8835372.516906308,49384.22259396718,8942899.51073913,537393.8025948533,17565229.352854837
1980-12-31,3237220.746975736,28056.715050792354,150965816.46708113,36213493.36875533,4513411.350579481,37423719.50039617,8363540.6766627105,7486235.317915488,44424.3923025991,8740700.62847055,477274.14244225045,19818345.19942502
1981-12-31,3526156.7386021325,32106.61945529702,145360508.14540973,36469706.907863066,5317708.822033818,36350524.276290104,8879441.833654236,8068749.133547715,44124.0274990118,10197246.879693126,536405.1487476095,21872226.97507781
1982-12-31,2664754.717062998,27405.137425178924,130543530.92578682,34049694.76611497,5992721.0409450885,35269873.364355735,7599215.274494671,9431320.021485854,40004.0596453785,7885245.02917,537498.9832203117,18003003.89292016
1983-12-31,3301077.8286741753,31386.303709362946,155133042.4814101,32211860.296236016,5695679.335471987,37244787.83246074,8358310.867012326,9753484.830234505,41558.9333316684,9458750.66712132,606300.1435898014,21608210.348062012
1984-12-31,2991908.793804323,30681.28950691695,137939294.49505374,38466811.39000294,4746180.566030475,36599751.577559814,8972333.11032657,8901282.819010375,45765.8288413191,9089574.262206247,485446.6625146488,19826126.578289527
1985-12-31,3011821.255223873,25456.537191076368,140025596.95922753,33655604.88083722,5061421.103939914,33729794.07949723,7704875.047977923,7822711.829682938,44911.52607889078,9735044.187835863,501276.6039532966,18411728.74376659
1986-12-31,2880854.97683391,30979.16238977896,147689570.78339508,33862576.47699932,5567314.274809334,36466117.896093115,7802476.71976701,9288990.836400123,39966.7480892095,8269995.111429036,577494.007668703,18113778.993622027
1987-12-31,3053153.7903523697,25130.103804200386,130644281.28552331,34439481.13922168,5312332.260707514,33581791.68923679,8127843.4674842255,8589789.631042177,43986.5905136701,8826845.266958335,517092.2497340934,19829478.2144245
1988-12-31,3244575.437667721,31432.833619435267,155014249.30048907,34883333.46330826,5349878.400852465,37559513.50536448,8137990.259421131,8505852.046389291,45176.9240626571,9466106.629658787,552625.5632709984,19527432.669679523
1989-12-31,2774994.4519006633,22998.234519161982,131428394.80522227,35364752.917652525,5856496.470493374,33028927.92803708,6465208.183885051,10042889.061821025,46965.64352970623,9055654.272129104,578744.6976131493,17634293.561516587
