Entity,Code,Year,Wind capacity (total) (GW),Wind_capacity_total_MW
Austria,AUT,2000,0.05,50.0
Austria,AUT,2001,0.067,67.0
Austria,AUT,2002,0.109000005,109.000005
Austria,AUT,2003,0.32200003,322.00003
Austria,AUT,2004,0.58100003,581.00003
Austria,AUT,2005,0.82521904,825.2190400000001
Austria,AUT,2006,0.96826905,968.26905
Austria,AUT,2007,0.991159,991.159
Austria,AUT,2008,0.99197406,991.97406
Austria,AUT,2009,1.000985,1000.985
Austria,AUT,2010,1.015828,1015.828
Austria,AUT,2011,1.105966,1105.966
Austria,AUT,2012,1.3371501,1337.1500999999998
Austria,AUT,2013,1.674538,1674.538
Austria,AUT,2014,2.110275,2110.275
Austria,AUT,2015,2.4887261,2488.7261
Austria,AUT,2016,2.7299962,2729.9962
Austria,AUT,2017,2.8866982,2886.6982000000003
Austria,AUT,2018,3.132713,3132.7129999999997
Austria,AUT,2019,3.224117,3224.117
Austria,AUT,2020,3.225979,3225.9790000000003
Austria,AUT,2021,3.4078112,3407.8111999999996
Austria,AUT,2022,3.5792363,3579.2363
Austria,AUT,2023,3.9772363,3977.2363
Belgium,BEL,2000,0.014,14.0
Belgium,BEL,2001,0.026,26.0
Belgium,BEL,2002,0.031000001,31.000000999999997
Belgium,BEL,2003,0.067,67.0
Belgium,BEL,2004,0.096,96.0
Belgium,BEL,2005,0.16700001,167.00001
Belgium,BEL,2006,0.21200001,212.00000999999997
Belgium,BEL,2007,0.27600002,276.00002
Belgium,BEL,2008,0.324,324.0
Belgium,BEL,2009,0.60800004,608.00004
Belgium,BEL,2010,0.91200006,912.00006
Belgium,BEL,2011,1.069,1069.0
Belgium,BEL,2012,1.3669001,1366.9001
Belgium,BEL,2013,1.769,1769.0
Belgium,BEL,2014,1.9327,1932.7
Belgium,BEL,2015,2.1813002,2181.3002
Belgium,BEL,2016,2.3338,2333.8
Belgium,BEL,2017,2.7794,2779.4
Belgium,BEL,2018,3.3049002,3304.9002
Belgium,BEL,2019,3.8635,3863.5
Belgium,BEL,2020,4.6727004,4672.7004
Belgium,BEL,2021,4.9484005,4948.4005
Belgium,BEL,2022,5.3034005,5303.400500000001
Belgium,BEL,2023,5.50355,5503.549999999999
Bulgaria,BGR,2004,0.001,1.0
Bulgaria,BGR,2005,0.008,8.0
Bulgaria,BGR,2006,0.027,27.0
Bulgaria,BGR,2007,0.030000001,30.000000999999997
Bulgaria,BGR,2008,0.11400001,114.00001
Bulgaria,BGR,2009,0.333,333.0
Bulgaria,BGR,2010,0.48800004,488.00004
Bulgaria,BGR,2011,0.541,541.0
Bulgaria,BGR,2012,0.67700005,677.00005
Bulgaria,BGR,2013,0.683,683.0
Bulgaria,BGR,2014,0.69900006,699.0000600000001
Bulgaria,BGR,2015,0.69900006,699.0000600000001
Bulgaria,BGR,2016,0.69900006,699.0000600000001
Bulgaria,BGR,2017,0.69839007,698.3900699999999
Bulgaria,BGR,2018,0.69892,698.92
Bulgaria,BGR,2019,0.70312005,703.12005
Bulgaria,BGR,2020,0.70280004,702.80004
Bulgaria,BGR,2021,0.704375,704.375
Bulgaria,BGR,2022,0.7020851,702.0851
Bulgaria,BGR,2023,0.7020851,702.0851
Croatia,HRV,2004,0.006,6.0
Croatia,HRV,2005,0.006,6.0
Croatia,HRV,2006,0.017,17.0
Croatia,HRV,2007,0.017,17.0
Croatia,HRV,2008,0.017,17.0
Croatia,HRV,2009,0.07,70.0
Croatia,HRV,2010,0.079,79.0
Croatia,HRV,2011,0.13000001,130.00001
Croatia,HRV,2012,0.18,180.0
Croatia,HRV,2013,0.254,254.0
Croatia,HRV,2014,0.33900002,339.00002
Croatia,HRV,2015,0.418,418.0
Croatia,HRV,2016,0.483,483.0
Croatia,HRV,2017,0.5761,576.0999999999999
Croatia,HRV,2018,0.5863,586.3000000000001
Croatia,HRV,2019,0.6463,646.3
Croatia,HRV,2020,0.80130005,801.30005
Croatia,HRV,2021,0.9869001,986.9001
Croatia,HRV,2022,0.9869001,986.9001
Croatia,HRV,2023,1.1429001,1142.9001
Cyprus,CYP,2004,0.00022500001,0.22500001
Cyprus,CYP,2005,0.00022500001,0.22500001
Cyprus,CYP,2006,0.00022500001,0.22500001
Cyprus,CYP,2007,0.00022500001,0.22500001
Cyprus,CYP,2008,0.00022500001,0.22500001
Cyprus,CYP,2009,0.00022500001,0.22500001
Cyprus,CYP,2010,0.082225,82.22500000000001
Cyprus,CYP,2011,0.13422501,134.22501
Cyprus,CYP,2012,0.147225,147.225
Cyprus,CYP,2013,0.147225,147.225
Cyprus,CYP,2014,0.147225,147.225
Cyprus,CYP,2015,0.157725,157.725
Cyprus,CYP,2016,0.157725,157.725
Cyprus,CYP,2017,0.157725,157.725
Cyprus,CYP,2018,0.157725,157.725
Cyprus,CYP,2019,0.157725,157.725
Cyprus,CYP,2020,0.157725,157.725
Cyprus,CYP,2021,0.15750001,157.50001
Cyprus,CYP,2022,0.15750001,157.50001
Cyprus,CYP,2023,0.158,158.0
Denmark,DNK,2000,2.3900151,2390.0150999999996
Denmark,DNK,2001,2.497153,2497.153
Denmark,DNK,2002,2.8945312,2894.5312
Denmark,DNK,2003,3.1199162,3119.9162
Denmark,DNK,2004,3.1237123,3123.7123
Denmark,DNK,2005,3.1278362,3127.8361999999997
Denmark,DNK,2006,3.1356962,3135.6962
Denmark,DNK,2007,3.1242142,3124.2142
Denmark,DNK,2008,3.1628702,3162.8702
Denmark,DNK,2009,3.4820871,3482.0871
Denmark,DNK,2010,3.8018293,3801.8293
Denmark,DNK,2011,3.951981,3951.9809999999998
Denmark,DNK,2012,4.161941,4161.941
Denmark,DNK,2013,4.818923,4818.923
Denmark,DNK,2014,4.8864036,4886.403600000001
Denmark,DNK,2015,5.0769663,5076.9663
Denmark,DNK,2016,5.2451425,5245.1425
Denmark,DNK,2017,5.4889493,5488.9493
Denmark,DNK,2018,6.1226606,6122.660599999999
Denmark,DNK,2019,6.1105433,6110.543299999999
Denmark,DNK,2020,6.2585373,6258.5373
Denmark,DNK,2021,7.0039487,7003.9487
Denmark,DNK,2022,7.083819,7083.819
Denmark,DNK,2023,7.4818187,7481.8187
Estonia,EST,2002,0.001,1.0
Estonia,EST,2003,0.003,3.0
Estonia,EST,2004,0.007,7.0
Estonia,EST,2005,0.031000001,31.000000999999997
Estonia,EST,2006,0.031000001,31.000000999999997
Estonia,EST,2007,0.05,50.0
Estonia,EST,2008,0.07700001,77.00000999999999
Estonia,EST,2009,0.104,104.0
Estonia,EST,2010,0.108,108.0
Estonia,EST,2011,0.18,180.0
Estonia,EST,2012,0.266,266.0
Estonia,EST,2013,0.24800001,248.00001
Estonia,EST,2014,0.275,275.0
