,Entity,Code,Year,Wind capacity (total) (GW),Wind_capacity_total_MW
152,Austria,AUT,2000,0.05,50.0
153,Austria,AUT,2001,0.067,67.0
154,Austria,AUT,2002,0.109000005,109.000005
155,Austria,AUT,2003,0.32200003,322.00003
156,Austria,AUT,2004,0.58100003,581.00003
157,Austria,AUT,2005,0.82521904,825.2190400000001
158,Austria,AUT,2006,0.96826905,968.26905
159,Austria,AUT,2007,0.991159,991.159
160,Austria,AUT,2008,0.99197406,991.97406
161,Austria,AUT,2009,1.000985,1000.985
162,Austria,AUT,2010,1.015828,1015.828
163,Austria,AUT,2011,1.105966,1105.966
164,Austria,AUT,2012,1.3371501,1337.1500999999998
165,Austria,AUT,2013,1.674538,1674.538
166,Austria,AUT,2014,2.110275,2110.275
167,Austria,AUT,2015,2.4887261,2488.7261
168,Austria,AUT,2016,2.7299962,2729.9962
169,Austria,AUT,2017,2.8866982,2886.6982000000003
170,Austria,AUT,2018,3.132713,3132.7129999999997
171,Austria,AUT,2019,3.224117,3224.117
172,Austria,AUT,2020,3.225979,3225.9790000000003
173,Austria,AUT,2021,3.4078112,3407.8111999999996
174,Austria,AUT,2022,3.5792363,3579.2363
175,Austria,AUT,2023,3.9772363,3977.2363
996,Finland,FIN,2000,0.038000003,38.000003
997,Finland,FIN,2001,0.039,39.0
998,Finland,FIN,2002,0.043,43.0
999,Finland,FIN,2003,0.052,52.0
1000,Finland,FIN,2004,0.082,82.0
1001,Finland,FIN,2005,0.082,82.0
1002,Finland,FIN,2006,0.086,86.0
1003,Finland,FIN,2007,0.11000001,110.00000999999999
1004,Finland,FIN,2008,0.143,143.0
1005,Finland,FIN,2009,0.147,147.0
1006,Finland,FIN,2010,0.19700001,197.00001
1007,Finland,FIN,2011,0.19900002,199.00002
1008,Finland,FIN,2012,0.257,257.0
1009,Finland,FIN,2013,0.44700003,447.00003
1010,Finland,FIN,2014,0.62700003,627.00003
1011,Finland,FIN,2015,1.005,1004.9999999999999
1012,Finland,FIN,2016,1.565,1565.0
1013,Finland,FIN,2017,2.0440001,2044.0001
1014,Finland,FIN,2018,2.0410001,2041.0001000000002
1015,Finland,FIN,2019,2.2840002,2284.0002
1016,Finland,FIN,2020,2.5860002,2586.0002
1017,Finland,FIN,2021,3.2570002,3257.0002
1018,Finland,FIN,2022,5.677,5677.0
1019,Finland,FIN,2023,6.9570003,6957.0003
1020,France,FRA,2000,0.038000003,38.000003
1021,France,FRA,2001,0.066,66.0
1022,France,FRA,2002,0.13800001,138.00001
1023,France,FRA,2003,0.21800001,218.00001
1024,France,FRA,2004,0.358,358.0
