Date,AL,BA,BE,BG,CY,DE,DK,EE,EL,ES,FI,FR,HR,IE,IT,LT,LV,ME,ML,NL,NO,PL,PT,RO,SE,SI,UK
1979-01-01,0.0,0.0,0.0,12691.8364088004,0.0,0.0,120177.77580432,4409.02032216,0.0,0.0,10.9564336425,715.638579222,7.760811696,0.0,428.98625532,0.0,0.0,0.0,0.0,2882.6257976987395,8.1477403262,0.0,0.0,0.0,2553.63534335,0.0,73241.14217232
1979-01-02,0.0,0.0,0.0,12011.94698177559,0.0,0.0,88427.07681756,18434.37617512,0.0,0.0,17.6749222,616.80442975,30.75732088,0.0,442.768484088,0.0,0.0,0.0,0.0,6412.38261694701,3.3614711645999984,0.0,0.0,0.0,1961.11793038,0.0,78573.01471522001
1979-01-03,0.0,0.0,0.0,17844.623002116,0.0,0.0,105956.8833726,10346.22585704,0.0,0.0,40.5222289,787.465700856,6.38857769964,0.0,193.1028576624,0.0,0.0,0.0,0.0,3555.172984143,9.371598351699998,0.0,0.0,0.0,2873.25085733,0.0,112161.912162855
1979-01-04,0.0,0.0,0.0,16923.649706019,0.0,0.0,88929.27807348,19205.301124688,0.0,0.0,49.0990313,1013.322776316,12.408127218,0.0,256.337615016,0.0,0.0,0.0,0.0,8213.72481435,10.509323829,0.0,0.0,0.0,2864.94472054,0.0,94984.726174545
1979-01-05,0.0,0.0,0.0,10782.947118276,0.0,0.0,35651.8618911,27384.906435168,0.0,0.0,29.22871264,579.832454351,7.114304812,0.0,95.8398764652,0.0,0.0,0.0,0.0,2833.022629239,10.953778105999998,0.0,0.0,0.0,1597.70759022,0.0,77618.820984955
1979-01-06,0.0,0.0,0.0,7163.3845831092,0.0,0.0,83126.24362224,5168.578514200656,0.0,0.0,32.8497542065,116.4291077238,2.549116584,0.0,59.6077495524,0.0,0.0,0.0,0.0,4970.771147067,19.614533377,0.0,0.0,0.0,1526.672529802,0.0,107944.676370565
1979-01-07,0.0,0.0,0.0,12608.547478332,0.0,0.0,127751.00578344,30105.014583968,0.0,0.0,74.0763847,319.73064730100003,8.771073376,0.0,129.458699496,0.0,0.0,0.0,0.0,15062.70843825,22.71573817,0.0,0.0,0.0,3269.36583932,0.0,137168.57544785
1979-01-08,0.0,0.0,0.0,5379.767430660841,0.0,0.0,105104.62238484,27519.626939232,0.0,0.0,67.3312972,479.316446358,0.1566633177348,0.0,99.5876266392,0.0,0.0,0.0,0.0,7024.03938456,14.023438974,0.0,0.0,0.0,3020.88574368,0.0,102368.860543905
1979-01-09,0.0,0.0,0.0,3700.4962800942,0.0,0.0,41992.927472184,24209.82321416,0.0,0.0,47.8546802,573.55820226,22.006917526,0.0,228.161188836,0.0,0.0,0.0,0.0,5740.69959012,7.383987652199998,0.0,0.0,0.0,1620.45132655,0.0,103165.55497928
1979-01-10,0.0,0.0,0.0,8609.225006808001,0.0,0.0,81699.9430416,11626.07598616,0.0,0.0,10.3940883,1053.930254072,17.444124204,0.0,233.83040184,0.0,0.0,0.0,0.0,12050.897043042,6.623095840099999,0.0,0.0,0.0,684.913136817,0.0,94252.67636756
1979-01-11,0.0,0.0,0.0,14122.462745886,0.0,0.0,109546.2082416,8675.6012924656,0.0,0.0,9.4251012225,1203.454021261,20.839296542,0.0,338.246492472,0.0,0.0,0.0,0.0,8583.19132572,9.599404545,0.0,0.0,0.0,1857.44403383,0.0,94453.598468145
1979-01-12,0.0,0.0,0.0,19638.732700815,0.0,0.0,67861.79198292,25812.88402088,0.0,0.0,50.6838125,561.312095909,1.75052712666,0.0,260.048274444,0.0,0.0,0.0,0.0,14972.79664221,11.067483574,0.0,0.0,0.0,2299.33953522,0.0,65540.29804489
1979-01-13,0.0,0.0,0.0,14182.555939599,0.0,0.0,79455.3662994,6432.8213455456,0.0,0.0,33.342624165000004,380.459551964,3.477043658,0.0,204.44534334,0.0,0.0,0.0,0.0,14945.89780299,8.968919188599997,0.0,0.0,0.0,1153.901478002,0.0,53436.313568130005
1979-01-14,0.0,0.0,0.0,4897.904883834024,0.0,0.0,17578.957435728,5018.4936189168,0.0,0.0,4.319218647,482.906610087,9.25156542,0.0,171.572944284,0.0,0.0,0.0,0.0,6146.574052542,4.586034335599999,0.0,0.0,0.0,232.251516014,0.0,83663.93691665
1979-01-15,0.0,0.0,0.0,1393.6493809497,0.0,0.0,30091.57837764,4290.3715038848,0.0,0.0,19.293596005,222.0092659117,9.9728542,0.0,87.7454613,0.0,0.0,0.0,0.0,111.12290063391,5.097123177599999,0.0,0.0,0.0,1693.7105248,0.0,77500.041781985
1979-01-16,0.0,0.0,0.0,5423.3842710186,0.0,0.0,13907.844445872,1686.0622329424,0.0,0.0,4.063919635,227.6097139013,5.05125502,0.0,59.0698976868,0.0,0.0,0.0,0.0,1350.537764895,12.953575781,0.0,0.0,0.0,449.817457635,0.0,69617.352377175
1979-01-17,0.0,0.0,0.0,15538.609037625,0.0,0.0,46619.88828354,2947.6782315312,0.0,0.0,16.00863536,195.7040270223,8.68927142,0.0,54.431989164,0.0,0.0,0.0,0.0,3554.4657458310003,8.713215488,0.0,0.0,0.0,948.53475094,0.0,85055.210979675
1979-01-18,0.0,0.0,0.0,14982.559229268,0.0,0.0,62950.889968200005,415.60089131964,0.0,0.0,0.3051413300999998,963.046581689,2.50405258,0.0,89.353103994,0.0,0.0,0.0,0.0,12402.88469013,11.411477439,0.0,0.0,0.0,287.031891412,0.0,127736.552484155
1979-01-19,0.0,0.0,0.0,19510.60515936,0.0,0.0,105291.92604684,366.09828434504,0.0,0.0,10.3887576875,1101.143602061,0.1800746008976,0.0,164.296576836,0.0,0.0,0.0,0.0,15122.25836616,12.984875975,0.0,0.0,0.0,549.688349952,0.0,153299.878632085
1979-01-20,0.0,0.0,0.0,14198.344229505,0.0,0.0,101857.72867452,2591.1255860736,0.0,0.0,13.85212178,563.840050843,0.010147739398,0.0,95.637689784,0.0,0.0,0.0,0.0,13159.68758247,11.986631148,0.0,0.0,0.0,911.873323648,0.0,128726.32283777
1979-01-21,0.0,0.0,0.0,3627.7680844149,0.0,0.0,69151.51538568,3844.632131144,0.0,0.0,14.495483415,357.85041836970004,0.2858817692724,0.0,60.5970407448,0.0,0.0,0.0,0.0,4040.481116595,6.695042528799998,0.0,0.0,0.0,1059.23475154,0.0,67988.68045862
1979-01-22,0.0,0.0,0.0,2017.455599147838,0.0,0.0,8198.202768444,3551.9522099008,0.0,0.0,20.5551444,801.797132553,10.75874526,0.0,185.1470712,0.0,0.0,0.0,0.0,4003.506053085,2.580101313999999,0.0,0.0,0.0,400.636308219,0.0,60159.76410239
1979-01-23,0.0,0.0,0.0,3319.5737747333587,0.0,0.0,36234.629670252,3204.51487397296,0.0,0.0,19.99348665,385.371521648,21.28751912,0.0,180.137971692,0.0,0.0,0.0,0.0,3263.656890417,4.619073384799999,0.0,0.0,0.0,378.472805774,0.0,35423.516628876
1979-01-24,0.0,0.0,0.0,1023.3431207755611,0.0,0.0,45517.96330536,21918.599389344,0.0,0.0,57.60365865,254.8701503118,10.635884138,0.0,79.6679810136,0.0,0.0,0.0,0.0,8525.07017967,11.013417956999998,0.0,0.0,0.0,1283.35082372,0.0,84262.20838208
1979-01-25,0.0,0.0,0.0,14019.786005934,0.0,0.0,73575.99590796,15118.271802432,0.0,0.0,23.131023555,475.603228428,8.30753606,0.0,94.110069942,0.0,0.0,0.0,0.0,14678.91819207,12.403263153,0.0,0.0,0.0,1395.62913308,0.0,72416.953355985
1979-01-26,0.0,0.0,0.0,18192.886658322,0.0,0.0,103002.3957222,26824.286187968,0.0,0.0,19.5873217875,280.0139812562,0.28185834784,0.0,48.0298755132,0.0,0.0,0.0,0.0,5516.90763789,7.699675601199998,0.0,0.0,0.0,1788.71450856,0.0,47655.975170585
1979-01-27,0.0,0.0,0.0,2485.575325289274,0.0,0.0,45361.032686736,27774.733111728,0.0,0.0,45.79204415,287.1799457387,25.43669732,0.0,183.962693628,0.0,0.0,0.0,0.0,2906.7146463729,7.572027602199999,0.0,0.0,0.0,1984.315923058,0.0,36132.7879232925
1979-01-28,0.0,0.0,0.0,12899.07414624,0.0,0.0,26895.06400854,1955.962537008,0.0,0.0,19.14030145,618.2080631900001,36.13577834,0.0,302.781051468,0.0,0.0,0.0,0.0,1543.0719866529,7.276561331399999,0.0,0.0,0.0,401.794846474,0.0,116349.933039085
1979-01-29,0.0,0.0,0.0,18899.339597964,0.0,0.0,88941.67691136,1091.3622380576,0.0,0.0,13.915972095,1097.499436772,20.81482036,0.0,318.769302852,0.0,0.0,0.0,0.0,12342.39604092,7.199595325099999,0.0,0.0,0.0,731.084421067,0.0,80073.563627005
1979-01-30,0.0,0.0,0.0,11126.6567204367,0.0,0.0,35824.21365588,22717.05035824,0.0,0.0,21.408259383,975.005374005,4.4480471176,0.0,248.572200744,0.0,0.0,0.0,0.0,2427.3426428064,9.839719884,0.0,0.0,0.0,1135.43729145,0.0,54998.88974223
1979-01-31,0.0,0.0,0.0,6267.3425575842,0.0,0.0,73193.90046696,20488.0029579552,0.0,0.0,60.05399275,587.596932852,2.728324904,0.0,267.509389392,0.0,0.0,0.0,0.0,9804.881529465,10.246360229,0.0,0.0,0.0,2494.93329946,0.0,113226.371569615
1979-02-01,0.0,0.0,0.0,12614.519184513,0.0,0.0,104339.87645796,3508.37338740576,0.0,0.0,22.37311235,975.468100781,3.3394558702,0.0,76.1154974496,0.0,0.0,0.0,0.0,14056.1094729,12.81662787,0.0,0.0,0.0,1552.92895296,0.0,101125.79176396
1979-02-02,0.0,0.0,0.0,7953.7806466533,0.0,0.0,70306.9705026,23250.803731152,0.0,0.0,19.689529925,456.469188203,14.06219558,0.0,106.576895628,0.0,0.0,0.0,0.0,7052.066680857,14.718570388999998,0.0,0.0,0.0,772.366904631,0.0,87455.211190475
1979-02-03,0.0,0.0,0.0,7917.526774068,0.0,0.0,127489.60305432,14016.33523496,0.0,0.0,14.19782482,97.7240108756,8.19105346,0.0,75.3132825648,0.0,0.0,0.0,0.0,13773.22542156,15.199976626999998,0.0,0.0,0.0,1977.377528,0.0,93889.88026099
1979-02-04,0.0,0.0,0.0,12293.119721007,0.0,0.0,93343.34961744,14596.921496512,0.0,0.0,24.548252515,502.3571762975,0.698509990774,0.0,62.2374821964,0.0,0.0,0.0,0.0,1839.433739154,9.511177579999998,0.0,0.0,0.0,1798.20359131,0.0,40192.040509925
1979-02-05,0.0,0.0,0.0,6424.6512308193005,0.0,0.0,42642.49190292,2261.3739352664,0.0,0.0,6.337691207,549.297471447,7.694602184,0.0,187.8325317792,0.0,0.0,0.0,0.0,1360.0598814,12.905611442999998,0.0,0.0,0.0,278.162104822,0.0,45028.71881237
1979-02-06,0.0,0.0,0.0,3290.6538935658,0.0,0.0,20649.229210194,1200.40482210832,0.0,0.0,16.644471715,553.476640398,10.586508393,0.0,236.892052404,0.0,0.0,0.0,0.0,2830.3012890141,17.519924411999998,0.0,0.0,0.0,318.287719603,0.0,94809.658030695
