Date,AT,CH,DE,ES,FI,FR,IT,NO,PT,RO,SE,SK
1979-12-31,15021456.66,5281921.42,7534820.2299999995,12475575.1,5924536.1,25499498.9,18693481.59,62595552.86,3378718.55,8075614.49,31297320.02,1648260.83
1980-12-31,30785902.2,10390457.59,15890582.48,31785883.24,12305409.75,67557827.44,39480547.16,130376438.67999999,7090552.67,19000664.78,62836030.79,4479773.8
1981-12-31,30491593.06,10615598.6,17239515.89,27036274.06,14602646.81,68000777.95,36300842.88,140235112.35,7018792.25,18769098.57,69085697.48,3921507.61
1982-12-31,28673212.1,11387128.56,15437094.88,31926325.33,13349829.15,63583862.47,37166663.839999996,126849335.87,9621874.29,17583958.56,63824470.22,3650523.26
1983-12-31,27368927.08,10209854.97,16266190.64,28594899.52,13385351.34,64770677.45,34550486.23,139005125.72,8941723.48,16500591.61,65536555.85,3714036.45
1984-12-31,27928950.18,11074735.91,16099103.32,38815237.76,13594900.82,63911473.91,37826096.54,135381035.11,11915043.91,17644462.33,65425007.87,4552555.36
1985-12-31,30250624.94,10558513.08,15609687.2,34370592.01,13017749.06,57643729.96,35587615.87,133029782.01,11435190.13,16931521.35,68266275.83,4384816.75
1986-12-31,27360476.11,10292743.91,16152618.93,32276694.28,13049711.95,59703037.67,37848215.44,133543774.82,10534881.04,16069416.96,65394302.63,3635700.43
1987-12-31,31107924.38,9342411.26,16197481.86,35129590.05,13923834.790000001,63882873.12,34361479.2,138676159.01,10750020.41,16200717.47,68999733.58,4328696.45
1988-12-31,29133174.76,10404061.73,16539799.08,37237228.98,13186404.2,64611439.11,34657498.61,135392536.13,11722484.64,18016054.58,67082382.56,3897792.59
1989-12-31,30593087.84,10458008.91,14996219.7,30152183.12,13405729.39,45414673.66,34249061.06,136431890.12,8012821.65,16687723.47,63087409.14,4449646.84
1990-12-31,27734691.33,10683613.5,15595343.73,31060752.88,12731462.36,50705746.79,35212216.49,137576363.99,10608029.19,14906747.81,65451350.33,4169787.29
