Date,AL,AT,BA,BE,BG,CH,CY,CZ,DE,DK,EE,EL,ES,FI,FR,HR,HU,IE,IS,IT,LI,LT,LU,LV,ME,MK,MT,NL,NO,PL,PT,RO,RS,SE,SI,SK,TR,UK
1980-01-01,,52910.11,,,,3877.71,,,34821.45,,,,27625.16,41526.16,145439.98,,,,,104198.66,,,,,,,,,26917.98,,23617.8,23738.66,,,,10436.96,,
1980-01-02,,53532.99,,,,3979.8,,,34394.82,,,,27676.85,41510.96,145355.19,,,,,106492.6,,,,,,,,,24720.5,,24225.09,23388.85,,,,10183.78,,
1980-01-03,,52062.49,,,,3745.3,,,34169.0,,,,28220.82,42134.83,146278.24,,,,,105228.51,,,,,,,,,24809.38,,24107.22,24265.53,,,,9798.46,,
1980-01-04,,49985.73,,,,3820.41,,,34011.97,,,,28344.47,39659.64,146776.29,,,,,105814.33,,,,,,,,,24659.43,,24539.79,25678.82,,,,9915.48,,
1980-01-05,,51375.3,,,,4100.08,,,33969.7,,,,28480.01,39397.63,147044.59,,,,,104477.55,,,,,,,,,24579.42,,24319.43,24686.01,,,,9428.84,,
1980-01-06,,51291.51,,,,4489.15,,,34266.3,,,,28849.61,39898.95,146985.01,,,,,103815.29,,,,,,,,,23802.94,,24112.0,24629.7,,,,9017.05,,
1980-01-07,,53288.79,,,,4283.6,,,33893.61,,,,29128.25,39917.86,147384.61,,,,,103367.61,,,,,,,,,23644.09,,23781.11,26637.72,,,,8974.62,,
1980-01-08,,49588.2,,,,4354.91,,,33928.95,,,,29403.24,40352.18,146681.07,,,,,101491.68,,,,,,,,,23352.93,,24009.75,26363.82,,,,8752.41,,
1980-01-09,,43065.34,,,,4418.4,,,33952.32,,,,29982.63,40260.56,144967.64,,,,,100953.87,,,,,,,,,23063.63,,23708.92,26596.54,,,,8519.51,,
1980-01-10,,42472.45,,,,4344.85,,,33989.85,,,,31893.3,39308.17,143471.51,,,,,100701.79,,,,,,,,,23445.13,,23614.89,26211.55,,,,8368.97,,
1980-01-11,,41516.73,,,,4182.69,,,33898.82,,,,32013.01,39337.19,143582.41,,,,,100429.89,,,,,,,,,23503.86,,23573.31,27525.51,,,,8353.7,,
1980-01-12,,42207.34,,,,4026.82,,,33870.61,,,,31571.96,39504.18,142687.47,,,,,100739.48,,,,,,,,,23850.34,,23818.51,27626.87,,,,8007.29,,
1980-01-13,,42772.97,,,,3808.29,,,33288.02,,,,32893.87,39690.51,140333.23,,,,,98678.29,,,,,,,,,24634.64,,23843.44,27487.66,,,,7898.96,,
1980-01-14,,42990.95,,,,3795.12,,,33626.19,,,,31624.35,39528.15,131807.24,,,,,97534.38,,,,,,,,,24558.02,,23611.64,27243.82,,,,8014.57,,
1980-01-15,,43444.53,,,,3749.69,,,33336.43,,,,31557.92,39657.24,129539.77,,,,,94842.46,,,,,,,,,24525.22,,24316.76,27239.5,,,,7725.03,,
1980-01-16,,43777.47,,,,3749.94,,,33383.8,,,,32387.55,39435.38,127008.28,,,,,92649.42,,,,,,,,,24618.86,,24577.43,27866.79,,,,8033.19,,
1980-01-17,,44095.92,,,,3669.34,,,33203.65,,,,31401.36,42065.32,126891.17,,,,,89629.11,,,,,,,,,23762.83,,23639.52,27304.32,,,,7976.04,,
1980-01-18,,44505.48,,,,3263.08,,,33204.72,,,,30461.91,42193.06,127184.2,,,,,82482.76,,,,,,,,,24042.01,,20690.49,26986.24,,,,7742.32,,
1980-01-19,,44100.0,,,,3392.24,,,31759.77,,,,30737.71,43037.34,127487.72,,,,,78965.29,,,,,,,,,24230.81,,18750.84,27066.13,,,,7794.71,,
1980-01-20,,43959.8,,,,2958.23,,,31196.52,,,,30151.35,43986.61,128173.73,,,,,74840.43,,,,,,,,,24148.14,,18811.16,27445.84,,,,7903.1,,
1980-01-21,,46378.76,,,,2790.3,,,31668.51,,,,30341.65,43957.32,131193.84,,,,,75728.98,,,,,,,,,23708.79,,17427.01,27496.58,,,,7918.64,,
