Date,AT,BE,BG,CY,CZ,DE,DK,EE,EL,ES,FI,FR,HR,HU,IE,IT,LT,LU,LV,MT,NL,PL,PT,RO,SE,SI,SK,EU27
1980-01-01,65652.61,,,,,37573.02,,,,102730.33,,225213.41,,,,128344.22,,,,,,,33210.35,41432.47,,,11164.279999999999,645320.69
1980-01-02,64983.69,,,,,36962.08,,,,102451.04999999999,,226258.7,,,,131031.31,,,,,,,33838.54,42028.869999999995,,,10909.66,648463.9
1980-01-03,62690.5,,,,,36686.88,,,,102287.23000000001,,230986.49,,,,129861.10999999999,,,,,,,33181.57,41939.07,,,10549.269999999999,648182.12
1980-01-04,62009.69,,,,,36494.55,,,,103033.54000000001,,214449.15000000002,,,,130582.72,,,,,,,32789.53,43013.15,,,10686.359999999999,633058.6900000001
1980-01-05,61647.94,,,,,36468.59,,,,103362.61,,213074.13,,,,129404.72,,,,,,,31808.68,44018.75,,,10221.94,630007.3599999999
1980-01-06,62551.78,,,,,36549.18,,,,101282.0,,212100.42,,,,128569.62,,,,,,,29952.18,45366.770000000004,,,9706.5,626078.45
1980-01-07,63706.18,,,,,36230.68,,,,99328.91,,211914.77999999997,,,,128031.29000000001,,,,,,,29576.35,45066.92,,,9602.93,623458.04
1980-01-08,60079.439999999995,,,,,36279.96,,,,99835.29000000001,,215445.03000000003,,,,125966.12,,,,,,,30177.32,44628.25,,,9393.08,621804.49
1980-01-09,54482.27,,,,,36296.93,,,,96284.0,,213679.0,,,,125254.23,,,,,,,30164.28,44248.100000000006,,,9107.5,609516.31
1980-01-10,53977.89,,,,,36304.92,,,,97695.96,,210919.37,,,,124956.62,,,,,,,30304.12,44060.96,,,8917.97,607137.8099999999
1980-01-11,52338.770000000004,,,,,36251.56,,,,98344.68999999999,,225203.13,,,,125186.4,,,,,,,29753.25,44745.39,,,8811.69,620634.8799999999
1980-01-12,53622.45,,,,,36181.26,,,,98213.92000000001,,224378.65,,,,125574.48,,,,,,,30015.079999999998,45819.32,,,8460.88,622266.04
