Date,AL,AT,BA,BE,BG,CH,CY,CZ,DE,DK,EE,EL,ES,FI,FR,HR,HU,IE,IS,IT,LI,LT,LU,LV,ME,MK,MT,NL,NO,PL,PT,RO,RS,SE,SI,SK,TR,UK
1979-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979-01-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979-01-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979-01-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979-01-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979-01-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979-01-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979-01-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979-01-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979-01-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979-01-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979-01-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979-01-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979-01-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979-01-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979-01-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979-01-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979-01-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979-01-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979-01-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979-01-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979-01-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979-01-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979-01-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979-01-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979-01-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979-01-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979-01-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979-01-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979-01-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979-01-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979-02-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
