Entity,Code,Year,Solar capacity (total) (GW),Solar_capacity_total_MW
Austria,AUT,2000,0.0050000004,5.0000004
Austria,AUT,2001,0.007,7.0
Austria,AUT,2002,0.009000001,9.000001000000001
Austria,AUT,2003,0.023000002,23.000002
Austria,AUT,2004,0.027,27.0
Austria,AUT,2005,0.021018002,21.018002
Austria,AUT,2006,0.022387002,22.387002
Austria,AUT,2007,0.024238,24.238
Austria,AUT,2008,0.03012,30.12
Austria,AUT,2009,0.048915002,48.915002
Austria,AUT,2010,0.088813,88.813
Austria,AUT,2011,0.17407,174.07
Austria,AUT,2012,0.33748302,337.48302
Austria,AUT,2013,0.625974,625.974
Austria,AUT,2014,0.7852461,785.2461
Austria,AUT,2015,0.937098,937.098
Austria,AUT,2016,1.0960162,1096.0162
Austria,AUT,2017,1.2689711,1268.9711
Austria,AUT,2018,1.4551321,1455.1321
Austria,AUT,2019,1.7020931,1702.0930999999998
Austria,AUT,2020,2.0429342,2042.9342
Austria,AUT,2021,2.782602,2782.602
Austria,AUT,2022,3.7917042,3791.7041999999997
Austria,AUT,2023,6.831704,6831.704000000001
Belgium,BEL,2002,0.001,1.0
Belgium,BEL,2003,0.001,1.0
Belgium,BEL,2004,0.001,1.0
Belgium,BEL,2005,0.002,2.0
Belgium,BEL,2006,0.002,2.0
Belgium,BEL,2007,0.020000001,20.000001
Belgium,BEL,2008,0.062000003,62.000003
Belgium,BEL,2009,0.386,386.0
Belgium,BEL,2010,1.0066,1006.5999999999999
Belgium,BEL,2011,1.9786,1978.6
Belgium,BEL,2012,2.6466002,2646.6002
Belgium,BEL,2013,2.9016001,2901.6001
Belgium,BEL,2014,3.015,3015.0
Belgium,BEL,2015,3.1316001,3131.6001
Belgium,BEL,2016,3.3288002,3328.8001999999997
Belgium,BEL,2017,3.6206002,3620.6002000000003
Belgium,BEL,2018,4.0,4000.0
Belgium,BEL,2019,4.6366005,4636.6005000000005
Belgium,BEL,2020,5.5728,5572.8
Belgium,BEL,2021,6.0124,6012.400000000001
Belgium,BEL,2022,6.7561007,6756.1007
Belgium,BEL,2023,8.5491,8549.099999999999
Bulgaria,BGR,2007,3.0000001e-05,0.030000001000000002
Bulgaria,BGR,2008,0.000100000005,0.100000005
Bulgaria,BGR,2009,0.002,2.0
Bulgaria,BGR,2010,0.025,25.0
Bulgaria,BGR,2011,0.15400001,154.00001
Bulgaria,BGR,2012,0.92200005,922.00005
Bulgaria,BGR,2013,1.039,1039.0
Bulgaria,BGR,2014,1.029,1029.0
Bulgaria,BGR,2015,1.028,1028.0
Bulgaria,BGR,2016,1.0300001,1030.0001
Bulgaria,BGR,2017,1.030701,1030.701
