Entity,Code,Year,Solar capacity (total) (GW),Solar_capacity_total_MW
Austria,AUT,2000,0.0050000004,5.0000004
Austria,AUT,2001,0.007,7.0
Austria,AUT,2002,0.009000001,9.000001000000001
Austria,AUT,2003,0.023000002,23.000002
Austria,AUT,2004,0.027,27.0
Austria,AUT,2005,0.021018002,21.018002
Austria,AUT,2006,0.022387002,22.387002
Austria,AUT,2007,0.024238,24.238
Austria,AUT,2008,0.03012,30.12
Austria,AUT,2009,0.048915002,48.915002
Austria,AUT,2010,0.088813,88.813
Austria,AUT,2011,0.17407,174.07
Austria,AUT,2012,0.33748302,337.48302
Austria,AUT,2013,0.625974,625.974
Austria,AUT,2014,0.7852461,785.2461
Austria,AUT,2015,0.937098,937.098
Austria,AUT,2016,1.0960162,1096.0162
Austria,AUT,2017,1.2689711,1268.9711
Austria,AUT,2018,1.4551321,1455.1321
Austria,AUT,2019,1.7020931,1702.0930999999998
Austria,AUT,2020,2.0429342,2042.9342
Austria,AUT,2021,2.782602,2782.602
Austria,AUT,2022,3.7917042,3791.7041999999997
Austria,AUT,2023,6.831704,6831.704000000001
Finland,FIN,2000,0.002,2.0
Finland,FIN,2001,0.003,3.0
Finland,FIN,2002,0.003,3.0
Finland,FIN,2003,0.003,3.0
Finland,FIN,2004,0.004,4.0
Finland,FIN,2005,0.004,4.0
Finland,FIN,2006,0.0050000004,5.0000004
Finland,FIN,2007,0.0050000004,5.0000004
Finland,FIN,2008,0.006,6.0
Finland,FIN,2009,0.006,6.0
Finland,FIN,2010,0.007,7.0
Finland,FIN,2011,0.007,7.0
Finland,FIN,2012,0.008,8.0
Finland,FIN,2013,0.009000001,9.000001000000001
Finland,FIN,2014,0.011000001,11.000001000000001
Finland,FIN,2015,0.017,17.0
Finland,FIN,2016,0.039,39.0
Finland,FIN,2017,0.082,82.0
Finland,FIN,2018,0.14,140.0
Finland,FIN,2019,0.22200002,222.00002
Finland,FIN,2020,0.31800002,318.00002
Finland,FIN,2021,0.425,425.0
Finland,FIN,2022,0.66400003,664.0000299999999
Finland,FIN,2023,0.90000004,900.00004
France,FRA,2000,0.007,7.0
France,FRA,2001,0.007,7.0
France,FRA,2002,0.008,8.0
France,FRA,2003,0.009000001,9.000001000000001
France,FRA,2004,0.011000001,11.000001000000001
France,FRA,2005,0.013,13.0
France,FRA,2006,0.015000001,15.000001000000001
France,FRA,2007,0.026,26.0
France,FRA,2008,0.080000006,80.000006
France,FRA,2009,0.277,277.0
France,FRA,2010,1.044,1044.0
France,FRA,2011,3.0035741,3003.5741
France,FRA,2012,4.358754,4358.754
France,FRA,2013,5.2772894,5277.2894
France,FRA,2014,6.034417,6034.417
