Date,AT,BE,BG,CY,CZ,DE,DK,EE,EL,ES,FI,FR,HR,HU,IE,IT,LT,LU,LV,NL,PL,PT,RO,SE,SI,SK,MT,EU27
1980-01-01,175175.1,207573.1,106164.2,11206.9,155893.0,1112427.7,92109.9,23510.8,123009.3,555442.4,242070.8,1561766.4,44475.7,96491.3,72742.3,621051.1,28570.1,10814.9,19345.1,300964.2,354083.0,110650.1,133337.7,407358.4,30605.0,69309.3,0,6666147.799999999
1980-01-02,204638.6,244888.8,124172.8,12876.0,189653.3,1350065.4,102485.9,26330.1,151679.4,668316.5,273236.9,1796835.8,51416.5,109608.0,80835.8,784627.0,32708.4,15201.8,22853.9,330623.7,420471.9,138824.0,135975.2,475616.2,37421.6,77190.0,0,7858553.500000001
1980-01-03,208766.2,254312.1,127410.6,13054.6,196708.2,1407802.0,106657.7,27108.5,153520.0,692024.2,277070.2,1855297.5,53461.2,115947.0,78887.2,834540.0,32976.2,15695.4,23839.4,335344.2,443135.1,142901.3,148912.5,515809.5,39998.4,79583.5,0,8180762.700000002
1980-01-04,212804.2,253043.5,131845.0,13338.2,198471.6,1440117.2,106468.5,27587.1,159647.4,693162.4,286491.0,1760843.6,54894.0,116674.9,78957.6,843515.7,33309.5,16306.2,24338.6,333897.5,445518.5,144325.3,149686.9,531581.5,40145.5,81193.4,0,8178164.8
1980-01-05,193156.9,232114.1,127506.7,13057.9,185201.7,1262532.5,93613.8,25645.3,158318.0,624292.7,266077.9,1588832.0,52410.6,110271.4,73109.0,738048.7,31705.4,15212.3,22190.1,299799.9,401695.6,129248.3,147686.5,477974.1,37676.3,78304.8,0,7385682.499999999
1980-01-06,179092.0,221086.7,127423.8,12496.2,178557.4,1226202.0,91225.4,24692.4,144210.9,577458.2,253307.1,1486133.0,47709.7,107883.2,71133.4,678512.2,29433.7,13536.2,21098.8,279469.8,373602.1,124533.7,142390.6,462636.7,35705.2,75256.6,0,6984787.0
1980-01-07,219206.1,262333.9,136845.4,14634.5,211955.4,1528257.6,112466.5,27725.5,152609.1,732988.0,280460.6,1722107.1,55051.4,125191.7,82743.4,883792.5,34208.9,18011.2,24023.1,340862.2,464115.1,152244.6,159709.7,511420.6,41368.5,86799.2,0,8381131.800000002
1980-01-08,225476.8,271951.0,138964.3,14276.4,214288.9,1613975.5,113314.0,28491.3,162039.6,784126.5,281924.3,1796549.4,55958.8,127457.0,83622.7,937330.4,34966.5,19719.4,24368.2,349583.3,481484.5,157706.5,162976.0,508269.8,43344.5,88955.7,0,8721121.3
1980-01-09,230585.0,275899.6,139753.7,13837.8,217878.3,1646202.2,114157.9,28732.2,164482.5,786802.5,285811.2,1824932.5,55922.9,128337.5,84177.4,960830.9,36144.7,19665.6,24811.3,351651.8,485087.9,158535.9,166191.9,518380.2,44152.5,89792.0,0,8852757.900000002
1980-01-10,233924.7,280455.0,141747.7,13769.0,220592.2,1672142.7,114830.0,29355.0,169061.2,790862.4,292457.5,1845745.1,56813.2,128759.9,84697.2,969097.8,37093.0,20088.2,25423.4,355403.2,490866.0,159868.2,168556.3,527584.6,44573.5,90302.2,0,8964069.200000001
